=======images with obj=======
img: D:\psd\CVPR_IMG\P81103-184815.jpg, mathes: 55432, good: 55432, delta: 0, time/size: 63.6882537609 sec, localization error: 362.89592783
img: D:\psd\CVPR_IMG\P81103-184937.jpg, mathes: 55432, good: 904, delta: 54528, time/size: 21.8722934029 sec, localization error: 223.877496904
img: D:\psd\CVPR_IMG\P81103-184946.jpg, mathes: 55432, good: 1018, delta: 54414, time/size: 65.1915071375 sec, localization error: 585.261379864
img: D:\psd\CVPR_IMG\P81103-185030.jpg, mathes: 55432, good: 731, delta: 54701, time/size: 13.6645529944 sec, localization error: 576.233841815
img: D:\psd\CVPR_IMG\P81103-185040.jpg, mathes: 55432, good: 355, delta: 55077, time/size: 17.4613746525 sec, localization error: 550.273143054
img: D:\psd\CVPR_IMG\P81103-185045.jpg, mathes: 55432, good: 1104, delta: 54328, time/size: 18.5283205903 sec, localization error: 290.479916521
img: D:\psd\CVPR_IMG\P81103-185053.jpg, mathes: 55432, good: 541, delta: 54891, time/size: 25.6785347391 sec, localization error: 833.651156566
img: D:\psd\CVPR_IMG\P81103-185113.jpg, mathes: 55432, good: 464, delta: 54968, time/size: 36.0872896359 sec, localization error: 1454.69494503
img: D:\psd\CVPR_IMG\P81103-185126.jpg, mathes: 55432, good: 426, delta: 55006, time/size: 22.1977083668 sec, localization error: 1051.10042512
img: D:\psd\CVPR_IMG\P81103-185150.jpg, mathes: 55432, good: 868, delta: 54564, time/size: 22.6737301589 sec, localization error: 686.393960711
img: D:\psd\CVPR_IMG\P81103-185209.jpg, mathes: 55432, good: 65, delta: 55367, time/size: 12.2381790572 sec, localization error: 4527.25374537
img: D:\psd\CVPR_IMG\P81103-185225.jpg, mathes: 55432, good: 1397, delta: 54035, time/size: 57.8702208694 sec, localization error: 308.444185417
img: D:\psd\CVPR_IMG\P81103-185237.jpg, mathes: 55432, good: 977, delta: 54455, time/size: 27.816961192 sec, localization error: 920.247258116
img: D:\psd\CVPR_IMG\P81103-185304.jpg, mathes: 55432, good: 299, delta: 55133, time/size: 19.1285660614 sec, localization error: 419.229402263
img: D:\psd\CVPR_IMG\P81103-185355.jpg, mathes: 55432, good: 663, delta: 54769, time/size: 101.207433117 sec, localization error: 285.346251025
img: D:\psd\CVPR_IMG\P81103-185412.jpg, mathes: 55432, good: 544, delta: 54888, time/size: 107.323590724 sec, localization error: 355.217005795
img: D:\psd\CVPR_IMG\P81103-185414.jpg, mathes: 55432, good: 1272, delta: 54160, time/size: 50.0874019717 sec, localization error: 319.196608431
img: D:\psd\CVPR_IMG\P81103-185416.jpg, mathes: 55432, good: 904, delta: 54528, time/size: 18.2494984225 sec, localization error: 1305.60492797
img: D:\psd\CVPR_IMG\P81103-185420.jpg, mathes: 55432, good: 930, delta: 54502, time/size: 120.97775378 sec, localization error: 946.327645362
img: D:\psd\CVPR_IMG\P81103-185431.jpg, mathes: 55432, good: 1981, delta: 53451, time/size: 69.9746060429 sec, localization error: 933.093865778
img: D:\psd\CVPR_IMG\P81103-185508.jpg, mathes: 55432, good: 380, delta: 55052, time/size: 11.9183866479 sec, localization error: 4296.51398941
img: D:\psd\CVPR_IMG\P81103-185516.jpg, mathes: 55432, good: 1402, delta: 54030, time/size: 11.5973624361 sec, localization error: 3747.13069444
img: D:\psd\CVPR_IMG\P81103-185534.jpg, mathes: 55432, good: 435, delta: 54997, time/size: 17.9108359401 sec, localization error: 2857.25732918
img: D:\psd\CVPR_IMG\P81103-185559.jpg, mathes: 55432, good: 656, delta: 54776, time/size: 62.1393645051 sec, localization error: 368.677791127
img: D:\psd\CVPR_IMG\P81103-185604.jpg, mathes: 55432, good: 439, delta: 54993, time/size: 26.5882441988 sec, localization error: 555.582503991
img: D:\psd\CVPR_IMG\P81103-185609.jpg, mathes: 55432, good: 639, delta: 54793, time/size: 37.3428970468 sec, localization error: 690.144813657
img: D:\psd\CVPR_IMG\P81103-185613.jpg, mathes: 55432, good: 762, delta: 54670, time/size: 27.4839339101 sec, localization error: 281.785355293
img: D:\psd\CVPR_IMG\P81103-185630.jpg, mathes: 55432, good: 867, delta: 54565, time/size: 27.7870369874 sec, localization error: 2651.13818931
img: D:\psd\CVPR_IMG\P81103-185639.jpg, mathes: 55432, good: 531, delta: 54901, time/size: 28.1861798732 sec, localization error: 548.260756594
img: D:\psd\CVPR_IMG\P81103-185644.jpg, mathes: 55432, good: 911, delta: 54521, time/size: 46.0374160857 sec, localization error: 716.252150464
img: D:\psd\CVPR_IMG\P81103-185649.jpg, mathes: 55432, good: 1012, delta: 54420, time/size: 45.2879171388 sec, localization error: 456.093887269
img: D:\psd\CVPR_IMG\P81103-185655.jpg, mathes: 55432, good: 718, delta: 54714, time/size: 46.4260733089 sec, localization error: 660.579302127
img: D:\psd\CVPR_IMG\P81103-185716.jpg, mathes: 55432, good: 310, delta: 55122, time/size: 13.8253424187 sec, localization error: 393.57973088
img: D:\psd\CVPR_IMG\P81103-185720.jpg, mathes: 55432, good: 173, delta: 55259, time/size: 11.6254171307 sec, localization error: 409.801814684
img: D:\psd\CVPR_IMG\P81103-185723.jpg, mathes: 55432, good: 591, delta: 54841, time/size: 11.8164134612 sec, localization error: 440.832505436
img: D:\psd\CVPR_IMG\P81103-185727.jpg, mathes: 55432, good: 797, delta: 54635, time/size: 11.9517045366 sec, localization error: 2148.09299393
img: D:\psd\CVPR_IMG\P81103-185732.jpg, mathes: 55432, good: 323, delta: 55109, time/size: 10.9527926449 sec, localization error: 2988.99225677
img: D:\psd\CVPR_IMG\P81103-185738.jpg, mathes: 55432, good: 372, delta: 55060, time/size: 11.2765094448 sec, localization error: 249.798586264
img: D:\psd\CVPR_IMG\P81103-185743.jpg, mathes: 55432, good: 2703, delta: 52729, time/size: 11.2313525919 sec, localization error: 2009.28528629
img: D:\psd\CVPR_IMG\P81103-185806.jpg, mathes: 55432, good: 1151, delta: 54281, time/size: 36.7363246742 sec, localization error: 1337.75543022
img: D:\psd\CVPR_IMG\P81103-185813.jpg, mathes: 55432, good: 1049, delta: 54383, time/size: 31.1389829476 sec, localization error: 1163.1944867
img: D:\psd\CVPR_IMG\P81103-185818.jpg, mathes: 55432, good: 535, delta: 54897, time/size: 12.8384257838 sec, localization error: 157.386596947
